date,cases,deaths
2020-02-28,1,0
2020-02-29,1,0
2020-03-01,2,0
2020-03-02,2,0
2020-03-03,2,0
2020-03-04,2,0
2020-03-05,2,0
2020-03-06,2,0
2020-03-07,6,0
2020-03-08,13,0
2020-03-09,13,0
2020-03-10,14,0
2020-03-11,20,0
2020-03-12,30,0
2020-03-13,30,0
2020-03-14,36,1
2020-03-15,39,1
2020-03-16,46,1
2020-03-17,66,2
2020-03-18,74,3
2020-03-19,87,3
2020-03-20,114,3
2020-03-21,137,4
2020-03-22,161,5
2020-03-23,191,5
2020-03-24,209,8
2020-03-25,266,10
2020-03-26,316,11
2020-03-27,414,12
2020-03-28,479,13
2020-03-29,548,13
2020-03-30,606,16
