date,cases,deaths
2020-03-01,2,0
2020-03-02,2,0
2020-03-03,3,0
2020-03-04,3,0
2020-03-05,4,0
2020-03-06,7,2
2020-03-07,12,2
2020-03-08,13,2
2020-03-09,14,2
2020-03-10,23,2
2020-03-11,26,2
2020-03-12,46,2
2020-03-13,70,2
2020-03-14,70,3
2020-03-15,109,3
2020-03-16,141,4
2020-03-17,210,6
2020-03-18,326,7
2020-03-19,434,8
2020-03-20,564,9
2020-03-21,764,11
2020-03-22,1000,13
2020-03-23,1222,18
2020-03-24,1467,19
2020-03-25,1965,23
2020-03-26,2477,29
2020-03-27,3198,46
2020-03-28,4038,56
2020-03-29,4942,59
2020-03-30,5694,71
