date,fips,cases,deaths
2020-03-06,45,2,0
2020-03-07,45,2,0
2020-03-08,45,6,0
2020-03-09,45,7,0
2020-03-10,45,9,0
2020-03-11,45,10,0
2020-03-12,45,12,0
2020-03-13,45,13,0
2020-03-14,45,19,0
2020-03-15,45,28,0
2020-03-16,45,33,1
2020-03-17,45,47,1
2020-03-18,45,60,1
2020-03-19,45,81,1
2020-03-20,45,126,3
2020-03-21,45,172,3
2020-03-22,45,194,3
2020-03-23,45,299,5
2020-03-24,45,342,7
2020-03-25,45,424,7
2020-03-26,45,456,9
2020-03-27,45,539,13
2020-03-28,45,660,15
2020-03-29,45,774,16
2020-03-30,45,925,18
