date,fips,cases,deaths
2020-02-25,49,1,0
2020-02-26,49,1,0
2020-02-27,49,1,0
2020-02-28,49,1,0
2020-02-29,49,1,0
2020-03-01,49,1,0
2020-03-02,49,1,0
2020-03-03,49,1,0
2020-03-04,49,1,0
2020-03-05,49,1,0
2020-03-06,49,3,0
2020-03-07,49,3,0
2020-03-08,49,3,0
2020-03-09,49,3,0
2020-03-10,49,4,0
2020-03-11,49,5,0
2020-03-12,49,7,0
2020-03-13,49,7,0
2020-03-14,49,21,0
2020-03-15,49,29,0
2020-03-16,49,40,0
2020-03-17,49,51,0
2020-03-18,49,65,0
2020-03-19,49,80,0
2020-03-20,49,112,0
2020-03-21,49,138,0
2020-03-22,49,182,1
2020-03-23,49,257,1
2020-03-24,49,298,1
2020-03-25,49,346,1
2020-03-26,49,402,1
2020-03-27,49,480,2
2020-03-28,49,608,2
2020-03-29,49,719,2
2020-03-30,49,806,4
