date,fips,cases,deaths
2020-01-21,53,1,0
2020-01-22,53,1,0
2020-01-23,53,1,0
2020-01-24,53,1,0
2020-01-25,53,1,0
2020-01-26,53,1,0
2020-01-27,53,1,0
2020-01-28,53,1,0
2020-01-29,53,1,0
2020-01-30,53,1,0
2020-01-31,53,1,0
2020-02-01,53,1,0
2020-02-02,53,1,0
2020-02-03,53,1,0
2020-02-04,53,1,0
2020-02-05,53,1,0
2020-02-06,53,1,0
2020-02-07,53,1,0
2020-02-08,53,1,0
2020-02-09,53,1,0
2020-02-10,53,1,0
2020-02-11,53,1,0
2020-02-12,53,1,0
2020-02-13,53,1,0
2020-02-14,53,1,0
2020-02-15,53,1,0
2020-02-16,53,1,0
2020-02-17,53,1,0
2020-02-18,53,1,0
2020-02-19,53,1,0
2020-02-20,53,1,0
2020-02-21,53,1,0
2020-02-22,53,1,0
2020-02-23,53,1,0
2020-02-24,53,5,0
2020-02-25,53,5,0
2020-02-26,53,5,0
2020-02-27,53,5,0
2020-02-28,53,7,0
2020-02-29,53,10,1
2020-03-01,53,17,3
2020-03-02,53,23,6
2020-03-03,53,32,10
2020-03-04,53,47,11
2020-03-05,53,75,11
2020-03-06,53,86,12
2020-03-07,53,110,16
2020-03-08,53,141,19
2020-03-09,53,179,22
2020-03-10,53,279,24
2020-03-11,53,338,29
2020-03-12,53,419,32
2020-03-13,53,511,37
2020-03-14,53,609,40
2020-03-15,53,675,42
2020-03-16,53,794,48
2020-03-17,53,908,54
2020-03-18,53,1026,68
2020-03-19,53,1228,75
2020-03-20,53,1404,83
2020-03-21,53,1655,95
2020-03-22,53,1844,97
2020-03-23,53,2101,110
2020-03-24,53,2469,123
2020-03-25,53,2585,130
2020-03-26,53,3208,151
2020-03-27,53,3770,177
2020-03-28,53,4311,191
2020-03-29,53,4896,207
2020-03-30,53,5179,221
