date,fips,cases,deaths
2020-03-03,37,1,0
2020-03-04,37,1,0
2020-03-05,37,1,0
2020-03-06,37,2,0
2020-03-07,37,2,0
2020-03-08,37,2,0
2020-03-09,37,7,0
2020-03-10,37,7,0
2020-03-11,37,8,0
2020-03-12,37,16,0
2020-03-13,37,18,0
2020-03-14,37,25,0
2020-03-15,37,32,0
2020-03-16,37,34,0
2020-03-17,37,42,0
2020-03-18,37,66,0
2020-03-19,37,104,0
2020-03-20,37,144,0
2020-03-21,37,184,0
2020-03-22,37,269,0
2020-03-23,37,303,0
2020-03-24,37,399,0
2020-03-25,37,563,1
2020-03-26,37,638,2
2020-03-27,37,783,3
2020-03-28,37,972,4
2020-03-29,37,1167,6
2020-03-30,37,1304,6
