date,fips,cases,deaths
2020-02-28,41,1,0
2020-02-29,41,1,0
2020-03-01,41,2,0
2020-03-02,41,2,0
2020-03-03,41,2,0
2020-03-04,41,2,0
2020-03-05,41,2,0
2020-03-06,41,2,0
2020-03-07,41,6,0
2020-03-08,41,13,0
2020-03-09,41,13,0
2020-03-10,41,14,0
2020-03-11,41,20,0
2020-03-12,41,30,0
2020-03-13,41,30,0
2020-03-14,41,36,1
2020-03-15,41,39,1
2020-03-16,41,46,1
2020-03-17,41,66,2
2020-03-18,41,74,3
2020-03-19,41,87,3
2020-03-20,41,114,3
2020-03-21,41,137,4
2020-03-22,41,161,5
2020-03-23,41,191,5
2020-03-24,41,209,8
2020-03-25,41,266,10
2020-03-26,41,316,11
2020-03-27,41,414,12
2020-03-28,41,479,13
2020-03-29,41,548,13
2020-03-30,41,606,16
