date,fips,cases,deaths
2020-01-25,06,1,0
2020-01-26,06,2,0
2020-01-27,06,2,0
2020-01-28,06,2,0
2020-01-29,06,2,0
2020-01-30,06,2,0
2020-01-31,06,3,0
2020-02-01,06,3,0
2020-02-02,06,6,0
2020-02-03,06,6,0
2020-02-04,06,6,0
2020-02-05,06,6,0
2020-02-06,06,6,0
2020-02-07,06,6,0
2020-02-08,06,6,0
2020-02-09,06,6,0
2020-02-10,06,7,0
2020-02-11,06,7,0
2020-02-12,06,7,0
2020-02-13,06,7,0
2020-02-14,06,7,0
2020-02-15,06,7,0
2020-02-16,06,7,0
2020-02-17,06,7,0
2020-02-18,06,7,0
2020-02-19,06,7,0
2020-02-20,06,8,0
2020-02-21,06,9,0
2020-02-22,06,9,0
2020-02-23,06,9,0
2020-02-24,06,11,0
2020-02-25,06,11,0
2020-02-26,06,26,0
2020-02-27,06,26,0
2020-02-28,06,27,0
2020-02-29,06,28,0
2020-03-01,06,33,0
2020-03-02,06,38,0
2020-03-03,06,45,0
2020-03-04,06,55,1
2020-03-05,06,67,1
2020-03-06,06,81,1
2020-03-07,06,100,1
2020-03-08,06,112,1
2020-03-09,06,172,2
2020-03-10,06,179,3
2020-03-11,06,202,4
2020-03-12,06,252,4
2020-03-13,06,320,5
2020-03-14,06,381,5
2020-03-15,06,478,6
2020-03-16,06,588,11
2020-03-17,06,732,14
2020-03-18,06,893,17
2020-03-19,06,1067,19
2020-03-20,06,1283,24
2020-03-21,06,1544,28
2020-03-22,06,1851,35
2020-03-23,06,2240,39
2020-03-24,06,2644,52
2020-03-25,06,3183,67
2020-03-26,06,4060,82
2020-03-27,06,4914,102
2020-03-28,06,5565,121
2020-03-29,06,6266,130
2020-03-30,06,7421,146
