date,fips,cases,deaths
2020-03-05,47,1,0
2020-03-06,47,1,0
2020-03-07,47,1,0
2020-03-08,47,3,0
2020-03-09,47,4,0
2020-03-10,47,7,0
2020-03-11,47,8,0
2020-03-12,47,18,0
2020-03-13,47,26,0
2020-03-14,47,32,0
2020-03-15,47,39,0
2020-03-16,47,52,0
2020-03-17,47,73,0
2020-03-18,47,98,0
2020-03-19,47,155,0
2020-03-20,47,237,0
2020-03-21,47,312,2
2020-03-22,47,424,2
2020-03-23,47,522,2
2020-03-24,47,679,2
2020-03-25,47,784,3
2020-03-26,47,981,3
2020-03-27,47,1062,6
2020-03-28,47,1373,6
2020-03-29,47,1537,7
2020-03-30,47,1834,13
