date,fips,cases,deaths
2020-03-05,24,3,0
2020-03-06,24,3,0
2020-03-07,24,3,0
2020-03-08,24,5,0
2020-03-09,24,6,0
2020-03-10,24,9,0
2020-03-11,24,13,0
2020-03-12,24,13,0
2020-03-13,24,18,0
2020-03-14,24,27,0
2020-03-15,24,32,0
2020-03-16,24,39,0
2020-03-17,24,57,0
2020-03-18,24,85,1
2020-03-19,24,108,1
2020-03-20,24,150,2
2020-03-21,24,195,3
2020-03-22,24,245,3
2020-03-23,24,290,3
2020-03-24,24,349,4
2020-03-25,24,423,4
2020-03-26,24,581,4
2020-03-27,24,775,5
2020-03-28,24,1066,10
2020-03-29,24,1244,11
2020-03-30,24,1414,15
