date,fips,cases,deaths
2020-03-04,34,1,0
2020-03-05,34,2,0
2020-03-06,34,4,0
2020-03-07,34,4,0
2020-03-08,34,6,0
2020-03-09,34,11,0
2020-03-10,34,15,1
2020-03-11,34,23,1
2020-03-12,34,29,1
2020-03-13,34,50,1
2020-03-14,34,75,2
2020-03-15,34,98,2
2020-03-16,34,176,3
2020-03-17,34,268,3
2020-03-18,34,427,5
2020-03-19,34,735,9
2020-03-20,34,896,11
2020-03-21,34,1336,16
2020-03-22,34,1914,20
2020-03-23,34,2844,27
2020-03-24,34,3675,44
2020-03-25,34,4402,62
2020-03-26,34,6876,81
2020-03-27,34,8825,108
2020-03-28,34,11124,140
2020-03-29,34,13386,161
2020-03-30,34,16636,199
