date,fips,cases,deaths
2020-03-06,18,1,0
2020-03-07,18,1,0
2020-03-08,18,2,0
2020-03-09,18,4,0
2020-03-10,18,6,0
2020-03-11,18,11,0
2020-03-12,18,12,0
2020-03-13,18,12,0
2020-03-14,18,15,0
2020-03-15,18,19,0
2020-03-16,18,24,1
2020-03-17,18,30,2
2020-03-18,18,39,2
2020-03-19,18,56,2
2020-03-20,18,79,3
2020-03-21,18,126,4
2020-03-22,18,201,6
2020-03-23,18,259,7
2020-03-24,18,366,12
2020-03-25,18,479,14
2020-03-26,18,656,18
2020-03-27,18,982,26
2020-03-28,18,1232,31
2020-03-29,18,1514,32
2020-03-30,18,1788,35
