date,fips,cases,deaths
2020-03-01,12,2,0
2020-03-02,12,2,0
2020-03-03,12,3,0
2020-03-04,12,3,0
2020-03-05,12,4,0
2020-03-06,12,7,2
2020-03-07,12,12,2
2020-03-08,12,13,2
2020-03-09,12,14,2
2020-03-10,12,23,2
2020-03-11,12,26,2
2020-03-12,12,46,2
2020-03-13,12,70,2
2020-03-14,12,70,3
2020-03-15,12,109,3
2020-03-16,12,141,4
2020-03-17,12,210,6
2020-03-18,12,326,7
2020-03-19,12,434,8
2020-03-20,12,564,9
2020-03-21,12,764,11
2020-03-22,12,1000,13
2020-03-23,12,1222,18
2020-03-24,12,1467,19
2020-03-25,12,1965,23
2020-03-26,12,2477,29
2020-03-27,12,3198,46
2020-03-28,12,4038,56
2020-03-29,12,4942,59
2020-03-30,12,5694,71
