date,fips,cases,deaths
2020-03-02,33,1,0
2020-03-03,33,2,0
2020-03-04,33,2,0
2020-03-05,33,2,0
2020-03-06,33,2,0
2020-03-07,33,4,0
2020-03-08,33,4,0
2020-03-09,33,4,0
2020-03-10,33,5,0
2020-03-11,33,5,0
2020-03-12,33,6,0
2020-03-13,33,7,0
2020-03-14,33,7,0
2020-03-15,33,13,0
2020-03-16,33,17,0
2020-03-17,33,26,0
2020-03-18,33,39,0
2020-03-19,33,44,0
2020-03-20,33,55,0
2020-03-21,33,65,0
2020-03-22,33,78,0
2020-03-23,33,101,1
2020-03-24,33,108,1
2020-03-25,33,137,1
2020-03-26,33,158,1
2020-03-27,33,187,2
2020-03-28,33,214,2
2020-03-29,33,258,3
2020-03-30,33,314,3
