date,fips,cases,deaths
2020-03-15,66,3,0
2020-03-16,66,3,0
2020-03-17,66,3,0
2020-03-18,66,8,0
2020-03-19,66,12,0
2020-03-20,66,14,0
2020-03-21,66,15,0
2020-03-22,66,27,1
2020-03-23,66,29,1
2020-03-24,66,32,1
2020-03-25,66,32,1
2020-03-26,66,49,1
2020-03-27,66,53,1
2020-03-28,66,57,1
2020-03-29,66,58,1
2020-03-30,66,60,1
