date,fips,cases,deaths
2020-03-01,36,1,0
2020-03-02,36,1,0
2020-03-03,36,2,0
2020-03-04,36,11,0
2020-03-05,36,22,0
2020-03-06,36,44,0
2020-03-07,36,89,0
2020-03-08,36,106,0
2020-03-09,36,142,0
2020-03-10,36,173,0
2020-03-11,36,217,0
2020-03-12,36,326,0
2020-03-13,36,421,0
2020-03-14,36,610,2
2020-03-15,36,732,6
2020-03-16,36,950,10
2020-03-17,36,1374,17
2020-03-18,36,2382,27
2020-03-19,36,4152,30
2020-03-20,36,7102,57
2020-03-21,36,10356,80
2020-03-22,36,15168,122
2020-03-23,36,20875,159
2020-03-24,36,25665,218
2020-03-25,36,33066,325
2020-03-26,36,38987,432
2020-03-27,36,44635,535
2020-03-28,36,53363,782
2020-03-29,36,59568,965
2020-03-30,36,67174,1224
