date,fips,cases,deaths
2020-03-09,22,1,0
2020-03-10,22,6,0
2020-03-11,22,13,0
2020-03-12,22,14,0
2020-03-13,22,36,0
2020-03-14,22,77,1
2020-03-15,22,103,2
2020-03-16,22,137,3
2020-03-17,22,196,5
2020-03-18,22,280,7
2020-03-19,22,392,10
2020-03-20,22,537,10
2020-03-21,22,763,16
2020-03-22,22,837,20
2020-03-23,22,1172,34
2020-03-24,22,1388,46
2020-03-25,22,1795,65
2020-03-26,22,2305,83
2020-03-27,22,2746,119
2020-03-28,22,3315,137
2020-03-29,22,3540,152
2020-03-30,22,4025,186
