date,fips,cases,deaths
2020-03-07,29,1,0
2020-03-08,29,1,0
2020-03-09,29,1,0
2020-03-10,29,1,0
2020-03-11,29,1,0
2020-03-12,29,2,0
2020-03-13,29,4,0
2020-03-14,29,5,0
2020-03-15,29,5,0
2020-03-16,29,9,0
2020-03-17,29,16,0
2020-03-18,29,21,1
2020-03-19,29,35,1
2020-03-20,29,73,3
2020-03-21,29,93,3
2020-03-22,29,130,3
2020-03-23,29,183,4
2020-03-24,29,255,5
2020-03-25,29,377,8
2020-03-26,29,507,8
2020-03-27,29,671,9
2020-03-28,29,838,10
2020-03-29,29,903,12
2020-03-30,29,1050,13
