date,fips,cases,deaths
2020-03-05,32,2,0
2020-03-06,32,2,0
2020-03-07,32,2,0
2020-03-08,32,4,0
2020-03-09,32,4,0
2020-03-10,32,4,0
2020-03-11,32,7,0
2020-03-12,32,11,0
2020-03-13,32,19,0
2020-03-14,32,21,0
2020-03-15,32,26,0
2020-03-16,32,45,1
2020-03-17,32,55,1
2020-03-18,32,82,1
2020-03-19,32,99,1
2020-03-20,32,165,2
2020-03-21,32,165,2
2020-03-22,32,190,2
2020-03-23,32,265,4
2020-03-24,32,315,6
2020-03-25,32,405,10
2020-03-26,32,535,10
2020-03-27,32,621,10
2020-03-28,32,738,14
2020-03-29,32,920,15
2020-03-30,32,1044,18
