date,fips,cases,deaths
2020-02-05,55,1,0
2020-02-06,55,1,0
2020-02-07,55,1,0
2020-02-08,55,1,0
2020-02-09,55,1,0
2020-02-10,55,1,0
2020-02-11,55,1,0
2020-02-12,55,1,0
2020-02-13,55,1,0
2020-02-14,55,1,0
2020-02-15,55,1,0
2020-02-16,55,1,0
2020-02-17,55,1,0
2020-02-18,55,1,0
2020-02-19,55,1,0
2020-02-20,55,1,0
2020-02-21,55,1,0
2020-02-22,55,1,0
2020-02-23,55,1,0
2020-02-24,55,1,0
2020-02-25,55,1,0
2020-02-26,55,1,0
2020-02-27,55,1,0
2020-02-28,55,1,0
2020-02-29,55,1,0
2020-03-01,55,1,0
2020-03-02,55,1,0
2020-03-03,55,1,0
2020-03-04,55,1,0
2020-03-05,55,1,0
2020-03-06,55,1,0
2020-03-07,55,1,0
2020-03-08,55,1,0
2020-03-09,55,2,0
2020-03-10,55,3,0
2020-03-11,55,6,0
2020-03-12,55,8,0
2020-03-13,55,19,0
2020-03-14,55,27,0
2020-03-15,55,33,0
2020-03-16,55,47,0
2020-03-17,55,72,0
2020-03-18,55,106,0
2020-03-19,55,155,2
2020-03-20,55,216,3
2020-03-21,55,281,4
2020-03-22,55,382,4
2020-03-23,55,418,5
2020-03-24,55,481,5
2020-03-25,55,623,7
2020-03-26,55,754,10
2020-03-27,55,930,16
2020-03-28,55,1042,17
2020-03-29,55,1120,17
2020-03-30,55,1267,20
