date,fips,cases,deaths
2020-03-05,08,2,0
2020-03-06,08,8,0
2020-03-07,08,8,0
2020-03-08,08,8,0
2020-03-09,08,12,0
2020-03-10,08,17,0
2020-03-11,08,34,0
2020-03-12,08,49,1
2020-03-13,08,78,2
2020-03-14,08,103,2
2020-03-15,08,136,2
2020-03-16,08,161,2
2020-03-17,08,183,3
2020-03-18,08,216,3
2020-03-19,08,278,5
2020-03-20,08,364,5
2020-03-21,08,475,6
2020-03-22,08,591,7
2020-03-23,08,721,10
2020-03-24,08,912,11
2020-03-25,08,1086,19
2020-03-26,08,1432,24
2020-03-27,08,1735,31
2020-03-28,08,2061,44
2020-03-29,08,2315,47
2020-03-30,08,2628,51
