date,fips,cases,deaths
2020-03-06,27,1,0
2020-03-07,27,1,0
2020-03-08,27,2,0
2020-03-09,27,2,0
2020-03-10,27,3,0
2020-03-11,27,5,0
2020-03-12,27,9,0
2020-03-13,27,14,0
2020-03-14,27,21,0
2020-03-15,27,35,0
2020-03-16,27,54,0
2020-03-17,27,60,0
2020-03-18,27,77,0
2020-03-19,27,89,0
2020-03-20,27,115,0
2020-03-21,27,138,1
2020-03-22,27,171,1
2020-03-23,27,235,1
2020-03-24,27,262,1
2020-03-25,27,287,1
2020-03-26,27,346,2
2020-03-27,27,398,4
2020-03-28,27,441,5
2020-03-29,27,504,9
2020-03-30,27,576,10
