date,fips,cases,deaths
2020-03-01,44,2,0
2020-03-02,44,2,0
2020-03-03,44,2,0
2020-03-04,44,2,0
2020-03-05,44,2,0
2020-03-06,44,3,0
2020-03-07,44,3,0
2020-03-08,44,3,0
2020-03-09,44,3,0
2020-03-10,44,5,0
2020-03-11,44,5,0
2020-03-12,44,5,0
2020-03-13,44,20,0
2020-03-14,44,20,0
2020-03-15,44,20,0
2020-03-16,44,21,0
2020-03-17,44,23,0
2020-03-18,44,33,0
2020-03-19,44,44,0
2020-03-20,44,44,0
2020-03-21,44,66,0
2020-03-22,44,83,0
2020-03-23,44,106,0
2020-03-24,44,124,0
2020-03-25,44,132,0
2020-03-26,44,165,0
2020-03-27,44,203,0
2020-03-28,44,239,2
2020-03-29,44,294,3
2020-03-30,44,408,4
