date,fips,cases,deaths
2020-03-06,42,2,0
2020-03-07,42,4,0
2020-03-08,42,6,0
2020-03-09,42,10,0
2020-03-10,42,12,0
2020-03-11,42,16,0
2020-03-12,42,22,0
2020-03-13,42,41,0
2020-03-14,42,47,0
2020-03-15,42,68,0
2020-03-16,42,81,0
2020-03-17,42,101,0
2020-03-18,42,139,1
2020-03-19,42,187,1
2020-03-20,42,269,1
2020-03-21,42,388,2
2020-03-22,42,504,3
2020-03-23,42,644,6
2020-03-24,42,851,7
2020-03-25,42,1151,11
2020-03-26,42,1690,16
2020-03-27,42,2218,23
2020-03-28,42,2815,35
2020-03-29,42,3441,40
2020-03-30,42,4156,48
