date,fips,cases,deaths
2020-03-02,13,2,0
2020-03-03,13,2,0
2020-03-04,13,2,0
2020-03-05,13,2,0
2020-03-06,13,3,0
2020-03-07,13,7,0
2020-03-08,13,11,0
2020-03-09,13,17,0
2020-03-10,13,22,0
2020-03-11,13,31,0
2020-03-12,13,31,1
2020-03-13,13,41,1
2020-03-14,13,65,1
2020-03-15,13,97,1
2020-03-16,13,118,1
2020-03-17,13,142,1
2020-03-18,13,193,3
2020-03-19,13,282,10
2020-03-20,13,482,14
2020-03-21,13,552,20
2020-03-22,13,620,25
2020-03-23,13,800,25
2020-03-24,13,1097,38
2020-03-25,13,1387,47
2020-03-26,13,1643,56
2020-03-27,13,2198,64
2020-03-28,13,2447,79
2020-03-29,13,2683,83
2020-03-30,13,3032,102
