date,fips,cases,deaths
2020-01-26,04,1,0
2020-01-27,04,1,0
2020-01-28,04,1,0
2020-01-29,04,1,0
2020-01-30,04,1,0
2020-01-31,04,1,0
2020-02-01,04,1,0
2020-02-02,04,1,0
2020-02-03,04,1,0
2020-02-04,04,1,0
2020-02-05,04,1,0
2020-02-06,04,1,0
2020-02-07,04,1,0
2020-02-08,04,1,0
2020-02-09,04,1,0
2020-02-10,04,1,0
2020-02-11,04,1,0
2020-02-12,04,1,0
2020-02-13,04,1,0
2020-02-14,04,1,0
2020-02-15,04,1,0
2020-02-16,04,1,0
2020-02-17,04,1,0
2020-02-18,04,1,0
2020-02-19,04,1,0
2020-02-20,04,1,0
2020-02-21,04,1,0
2020-02-22,04,1,0
2020-02-23,04,1,0
2020-02-24,04,1,0
2020-02-25,04,1,0
2020-02-26,04,1,0
2020-02-27,04,1,0
2020-02-28,04,1,0
2020-02-29,04,1,0
2020-03-01,04,1,0
2020-03-02,04,1,0
2020-03-03,04,2,0
2020-03-04,04,2,0
2020-03-05,04,2,0
2020-03-06,04,3,0
2020-03-07,04,5,0
2020-03-08,04,5,0
2020-03-09,04,6,0
2020-03-10,04,6,0
2020-03-11,04,9,0
2020-03-12,04,9,0
2020-03-13,04,9,0
2020-03-14,04,12,0
2020-03-15,04,13,0
2020-03-16,04,18,0
2020-03-17,04,20,0
2020-03-18,04,28,0
2020-03-19,04,47,0
2020-03-20,04,70,1
2020-03-21,04,104,1
2020-03-22,04,153,2
2020-03-23,04,234,2
2020-03-24,04,326,6
2020-03-25,04,402,6
2020-03-26,04,508,8
2020-03-27,04,665,15
2020-03-28,04,773,15
2020-03-29,04,929,18
2020-03-30,04,1169,20
