2020-03-10,1
2020-03-11,1
2020-03-12,1
2020-03-13,1
2020-03-14,1
2020-03-15,1
2020-03-16,3
2020-03-17,3
2020-03-18,3
2020-03-19,3
2020-03-20,4
2020-03-21,4
2020-03-22,13
2020-03-23,15
2020-03-24,15
2020-03-25,23
2020-03-26,31
2020-03-27,46
2020-03-28,47
2020-03-29,64
2020-03-30,66
2020-03-31,81
2020-04-01,110
2020-04-02,110
2020-04-03,119
2020-04-04,130
2020-04-05,142
2020-04-06,161
2020-04-07,161
2020-04-08,197
2020-04-09,210
2020-04-10,231
2020-04-11,245
2020-04-12,251
2020-04-13,266
2020-04-14,308
2020-04-15,331
2020-04-16,350
2020-04-17,370
2020-04-18,377
2020-04-19,377
2020-04-20,393
2020-04-21,417
2020-04-22,440
2020-04-23,467
2020-04-24,496
2020-04-25,496
2020-04-26,506
2020-04-27,530
2020-04-28,562
2020-04-29,582
2020-04-30,602
2020-05-01,629
2020-05-02,634
2020-05-03,634
2020-05-04,640
2020-05-05,662
2020-05-06,672
2020-05-07,689
2020-05-08,699
2020-05-09,699
2020-05-10,699
2020-05-11,724
2020-05-12,742
2020-05-13,758
2020-05-14,773
2020-05-15,798
2020-05-16,798
2020-05-17,798
2020-05-18,817
2020-05-19,848
2020-05-20,861
2020-05-21,881
2020-05-22,888
2020-05-23,888
2020-05-24,888
2020-05-25,888
2020-05-26,913
2020-05-27,926
2020-05-28,940
2020-05-29,954
2020-05-30,954
2020-05-31,954
2020-06-01,966
2020-06-02,1010
2020-06-03,1033
2020-06-04,1053
2020-06-05,1064
2020-06-06,1064
2020-06-07,1064
2020-06-08,1090
2020-06-09,1122
2020-06-10,1162
2020-06-11,1197
2020-06-12,1258
2020-06-13,1258
2020-06-14,1258
2020-06-15,1300
2020-06-16,1359
2020-06-17,1428
